,abbreviation,expansion,whole_set
2767,l,liter,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2768,l,lymphocytes,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2769,l&d,labor and delivery,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2770,l&w,living and well,"['l&w', 'living and well']"
2771,l-spine,lumbar spine,"['l-spine', 'lumbar spine']"
2772,l.c.d.,coal tar solution,"['coal tar solution', 'l.c.d.']"
2773,l.d.n.,licensed dietitian nutritionist,"['l.d.n.', 'licensed dietitian nutritionist']"
2774,l.p.n.,licensed practical nurse,"['l.p.n.', 'licensed practical nurse', 'licensed professional nurse', 'lpn']"
2775,l/min,liters per minute,"['l/min', 'liters per minute', 'lpm']"
2776,l/r fd,left to right fixation disparity,"['l/r fd', 'left to right fixation disparity']"
2777,l1,1 live birth,"['1 live birth', 'first lumbar vertebra', 'l1', 'l1 (first lumbar vertebra)', 'lumbar 1']"
2778,l1,first lumbar vertebra,"['1 live birth', 'first lumbar vertebra', 'l1', 'l1 (first lumbar vertebra)', 'lumbar 1']"
2779,l1,l1 (first lumbar vertebra),"['1 live birth', 'first lumbar vertebra', 'l1', 'l1 (first lumbar vertebra)', 'lumbar 1']"
2780,l1,lumbar 1,"['1 live birth', 'first lumbar vertebra', 'l1', 'l1 (first lumbar vertebra)', 'lumbar 1']"
2781,l2,lumbar 2,"['l2', 'lumbar 2', 'second lumbar vertebra', 'two living children']"
2782,l2,second lumbar vertebra,"['l2', 'lumbar 2', 'second lumbar vertebra', 'two living children']"
2783,l2,two living children,"['l2', 'lumbar 2', 'second lumbar vertebra', 'two living children']"
2784,l3,3 live births,"['3 live births', 'l3', 'lumbar 3', 'third lumbar vertebra']"
2785,l3,lumbar 3,"['3 live births', 'l3', 'lumbar 3', 'third lumbar vertebra']"
2786,l3,third lumbar vertebra,"['3 live births', 'l3', 'lumbar 3', 'third lumbar vertebra']"
2787,l4,fourth lumbar vertebra,"['fourth lumbar vertebra', 'l4', 'lumbar 4']"
2788,l4,lumbar 4,"['fourth lumbar vertebra', 'l4', 'lumbar 4']"
2789,l5,fifth lumbar vertebra,"['fifth lumbar vertebra', 'l5', 'lumbar five']"
2790,l5,lumbar five,"['fifth lumbar vertebra', 'l5', 'lumbar five']"
2791,la,lactic acid,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2792,la,left atrial,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2793,la,left atrium,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2794,la,long acting,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2795,la,lupus anticoagulant,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2796,la,lymphadenopathy,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2797,la/ssb,la/ssb antigen,"['la/ssb', 'la/ssb antigen']"
2798,laa,left atrial appendage,"['laa', 'left atrial appendage']"
2799,lab,laboratory,"['lab', 'laboratory']"
2800,lac,laceration,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2801,lac,lactate,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2802,lac,lactic acid,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2803,lac,lupus anticoagulant,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2804,lacc,lupus activity criteria count,"['lacc', 'lupus activity criteria count']"
2805,lact(o),lactoferrin,"['lact(o)', 'lactoferrin']"
2806,lad,anterior descending branch of left coronary artery,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2807,lad,left anterior descending,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2808,lad,left atrial dilation,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2809,lad,left axis deviation,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2810,lad,lymphadenopathy,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2811,lae,left atrial enlargement,"['lae', 'left atrial enlargement']"
2812,lah,left anterior hemiblock,"['lah', 'left anterior hemiblock']"
2813,lam,laminectomy,"['lam', 'laminectomy']"
2814,lan,lymphadenopathy,"['anterior descending branch of left coronary artery', 'la', 'lac', 'laceration', 'lactate', 'lactic acid', 'lad', 'lan', 'left anterior descending', 'left atrial', 'left atrial dilation', 'left atrium', 'left axis deviation', 'long acting', 'lupus anticoagulant', 'lymphadenopathy']"
2815,lao,left anterior oblique,"['lao', 'left anterior oblique']"
2816,lap,chole laparoscopic cholecystectomy,"['chole laparoscopic cholecystectomy', 'lap', 'laparoscopic', 'laparotomy', 'left atrial pressure', 'leukocyte alkaline phosphatase']"
2817,lap,laparoscopic,"['chole laparoscopic cholecystectomy', 'lap', 'laparoscopic', 'laparotomy', 'left atrial pressure', 'leukocyte alkaline phosphatase']"
2818,lap,laparotomy,"['chole laparoscopic cholecystectomy', 'lap', 'laparoscopic', 'laparotomy', 'left atrial pressure', 'leukocyte alkaline phosphatase']"
2819,lap,left atrial pressure,"['chole laparoscopic cholecystectomy', 'lap', 'laparoscopic', 'laparotomy', 'left atrial pressure', 'leukocyte alkaline phosphatase']"
2820,lap,leukocyte alkaline phosphatase,"['chole laparoscopic cholecystectomy', 'lap', 'laparoscopic', 'laparotomy', 'left atrial pressure', 'leukocyte alkaline phosphatase']"
2821,lar,low anterior resection,"['lar', 'low anterior resection']"
2822,las,label as such,"['label as such', 'las', 'lung allocation score']"
2823,las,lung allocation score,"['label as such', 'las', 'lung allocation score']"
2824,lasek,laser epithelial keratomileusis,"['lasek', 'laser epithelial keratomileusis']"
2825,lasik,laser in-situ keratomileusis,"['laser in-situ keratomileusis', 'lasik']"
2826,lat,lateral,"['lat', 'lateral']"
2827,lat. dol.,to the painful side,"['lat. dol.', 'to the painful side']"
2828,lb,pound,"['lb', 'lb.', 'lbs', 'pound', 'pounds']"
2829,lb,pounds,"['lb', 'lb.', 'lbs', 'pound', 'pounds']"
2830,lb.,pound,"['lb', 'lb.', 'lbs', 'pound', 'pounds']"
2831,lbbb,left bundle branch block,"['lbbb', 'left bundle branch block']"
2832,lbo,large bowel obstruction,"['large bowel obstruction', 'lbo']"
2833,lbp,low back pain,"['lbp', 'low back pain', 'lower back pain']"
2834,lbp,lower back pain,"['lbp', 'low back pain', 'lower back pain']"
2835,lbqc,large based quad cane,"['large based quad cane', 'lbqc']"
2836,lbs,pounds,"['lb', 'lb.', 'lbs', 'pound', 'pounds']"
2837,lc,lactation consultant,"['lactation consultant', 'lc']"
2838,lca,left coronary artery,"['lca', 'left coronary artery']"
2839,lch,langerhans cell histiocytosis,"['langerhans cell histiocytosis', 'lch']"
2840,lcis,lobular carcinoma in situ,"['lcis', 'lobular carcinoma in situ']"
2841,lcl,lateral collateral ligament,"['lateral collateral ligament', 'lcl']"
2842,lcm,lymphocytic choriomeningitis,"['lcm', 'lymphocytic choriomeningitis']"
2843,lcssc,limited cutaneous systemic sclerosis,"['lcssc', 'limited cutaneous systemic sclerosis']"
2844,lcx,left circumflex,"['lcx', 'left circumflex', 'left circumflex coronary artery']"
2845,lcx,left circumflex coronary artery,"['lcx', 'left circumflex', 'left circumflex coronary artery']"
2846,ld,labor and delivery,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2847,ld,lactate dehydrogenase,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2848,ld,legionnaires' disease,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2849,ld,living donor,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2850,ld(s),learning disabilities/difficulties/differences/disorder,"['ld(s)', 'learning disabilities/difficulties/differences/disorder']"
2851,ldh,lactate dehydrogenase,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2852,ldh,lactic dehydrogenase,"['l&d', 'labor and delivery', 'lactate dehydrogenase', 'lactic dehydrogenase', 'ld', 'ldh', 'legionnaires disease', 'living donor']"
2853,ldl,low density lipoprotein,"['ldl', 'low density lipoprotein', 'low-density lipoprotein']"
2854,ldl,low-density lipoprotein,"['ldl', 'low density lipoprotein', 'low-density lipoprotein']"
2855,ldl-c,low-density lipoprotein cholesterol,"['ldl-c', 'low-density lipoprotein cholesterol']"
2856,ldllt,living donor lobar lung transplant,"['ldllt', 'living donor lobar lung transplant']"
2857,ldlt,living donor liver transplant,"['ldlt', 'living donor liver transplant']"
2858,le,leukocyte esterase,"['le', 'leukocyte esterase', 'lower extremity']"
2859,le,lower extremity,"['le', 'leukocyte esterase', 'lower extremity']"
2860,le cells,lupus erythematosus cells,"['le cells', 'lupus erythematosus cells']"
2861,lea,lumbar epidural analgesia,"['lea', 'lumbar epidural analgesia']"
2862,lee,lower extremity edema,"['lee', 'lower extremity edema']"
2863,lef,leflunomide,"['lef', 'leflunomide']"
2864,left et,left esotropia,"['left esotropia', 'left et']"
2865,lems,lambert-eaton myasthenic syndrome,"['lambert-eaton myasthenic syndrome', 'lambert–eaton myasthenic syndrome', 'lems']"
2866,lems,lambert–eaton myasthenic syndrome,"['lambert-eaton myasthenic syndrome', 'lambert–eaton myasthenic syndrome', 'lems']"
2867,lenis,lower extremity non-invasive study,"['lenis', 'lower extremity non-invasive study']"
2868,les,lower esophageal sphincter,"['les', 'lower esophageal sphincter']"
2869,lf,low forceps,"['lf', 'low forceps']"
2870,lfa,low-functioning autism,"['lfa', 'low-functioning autism']"
2871,lft,left,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2872,lft,liver function test,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2873,lft,liver function tests,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2874,lfts,liver function tests,"['avl', 'l', 'left', 'levin tube', 'lft', 'lfts', 'light', 'light touch', 'liter', 'liver function test', 'liver function tests', 'liver transplant', 'lt', 'ltx', 'lung transplant', 'lym', 'lymph', 'lymph nodes', 'lymphatic', 'lymphocytes', 'lymphs', 'lympre']"
2875,lga,large for gestational age,"['large for gestational age', 'lga']"
2876,lgv,lymphogranuloma venereum,"['lgv', 'lymphogranuloma venereum']"
2877,lh,left handed,"['left handed', 'lh', 'light headed', 'luteinizing hormone']"
2878,lh,light headed,"['left handed', 'lh', 'light headed', 'luteinizing hormone']"
2879,lh,luteinizing hormone,"['left handed', 'lh', 'light headed', 'luteinizing hormone']"
2880,lhc,left heart catheterization,"['left heart catheterization', 'lhc']"
2881,lhf,left heart failure,"['left heart failure', 'lhf']"
2882,lhrh,luteinizing hormone releasing hormone,"['lhrh', 'luteinizing hormone releasing hormone']"
2883,lht,left hypertropia,"['left hypertropia', 'lht', 'lhypert']"
2884,lhypert,left hypertropia,"['left hypertropia', 'lht', 'lhypert']"
2885,lhypot,left hypotropia,"['left hypotropia', 'lhypot']"
2886,li,lithium,"['li', 'lithium']"
2887,lig,ligament,"['lig', 'ligament']"
2888,lih,left inguinal hernia,"['left inguinal hernia', 'lih']"
2889,lima,left internal mammary artery,"['left internal mammary artery', 'lima']"
2890,lin,liniment,"['lin', 'liniment']"
2891,linac,linear accelerator,"['linac', 'linear accelerator']"
2892,liq,liquid,"['liq', 'liquid']"
2893,liq.,solution,"['liq.', 'sol', 'sol.', 'solution']"
2894,lks,landau-kleffner syndrome,"['landau-kleffner syndrome', 'landau–kleffner syndrome', 'lks']"
2895,lks,landau–kleffner syndrome,"['landau-kleffner syndrome', 'landau–kleffner syndrome', 'lks']"
2896,ll,balloon,"['balloon', 'left lateral', 'left leg', 'left lower', 'lithotripsy', 'll', 'llat', 'long leg', 'lower leg', 'lower limb', 'lower lobe', 'lower lumbar', 'overall', 'two']"
2897,ll,left lateral,"['balloon', 'left lateral', 'left leg', 'left lower', 'lithotripsy', 'll', 'llat', 'long leg', 'lower leg', 'lower limb', 'lower lobe', 'lower lumbar', 'overall', 'two']"
2898,ll,left leg,"['balloon', 'left lateral', 'left leg', 'left lower', 'lithotripsy', 'll', 'llat', 'long leg', 'lower leg', 'lower limb', 'lower lobe', 'lower lumbar', 'overall', 'two']"
